CID,ファイル,言語,関数名,functionDisplayName,行番号,影響度,問題の種類,型,type2,カテゴリ,category2,eventDescription,CWE,カウント,チェッカー,状態,初回検出日(First Detected),比較(Comparison),最初のスナップショット,最初のスナップショットの日付(First Snapshot Date),最初のスナップショットのストリーム,最後のスナップショット,最後のスナップショットの日付(Last Snapshot Date),最後のスナップショットのストリーム,最終選別日(Last Triaged),最終選別ユーザー,最終選別コメント,分類,重要度,アクション,外部参照,所有者/担当者,mergeKey
259836,./app_timer.c,C,FwUpdateDateCheck,FwUpdateDateCheck,554,高,品質,32 ビット time_t の使用,64 ビットの time_t 値は、より小さい幅の整数に格納されます。,影響度: 高の品質,この整数に格納されている時間の値は、それぞれ異なるものの、有効である可能性がある時間を表します。,"対応するビットが非常に少ない状態で、""time_t"" 値が整数に格納されています。式 ""GetFwReleaseDate(macadr)"" が ""int"" にキャストされています。",197,1,Y2K38_SAFETY,新規,2022/5/19,発生せず,13601,2022/5/19,,14296,2023/8/10,,,,,未分類,未指定,未確定,,Unassigned,8f230de315e3b11a8cc2bd9e7f9d0d04
259836,./app_timer.c,C,FwUpdateDateCheck,FwUpdateDateCheck,554,高,品質,32 ビット time_t の使用,64 ビットの time_t 値は、より小さい幅の整数に格納されます。,影響度: 高の品質,この整数に格納されている時間の値は、それぞれ異なるものの、有効である可能性がある時間を表します。,"対応するビットが非常に少ない状態で、""time_t"" 値が整数に格納されています。式 ""mktime(&GmtTime)"" が ""int"" にキャストされています。",197,1,Y2K38_SAFETY,新規,2022/5/19,発生せず,13601,2022/5/19,,14296,2023/8/10,,,,,未分類,未指定,未確定,,Unassigned,8f230de315e3b11a8cc2bd9e7f9d0d04
259836,./app_timer.c,C,FwUpdateDateCheck,FwUpdateDateCheck,554,高,品質,32 ビット time_t の使用,64 ビットの time_t 値は、より小さい幅の整数に格納されます。,影響度: 高の品質,この整数に格納されている時間の値は、それぞれ異なるものの、有効である可能性がある時間を表します。,"対応するビットが非常に少ない状態で、""time_t"" 値が整数に格納されています。式 ""GetFwReleaseDate(macadr)"" が ""int"" にキャストされています。",197,1,Y2K38_SAFETY,新規,2022/5/19,発生せず,13601,2022/5/19,,14296,2023/8/10,,,,,未分類,未指定,未確定,,Unassigned,8f230de315e3b11a8cc2bd9e7f9d0d04
259836,./app_timer.c,C,FwUpdateDateCheck,FwUpdateDateCheck,554,高,品質,32 ビット time_t の使用,64 ビットの time_t 値は、より小さい幅の整数に格納されます。,影響度: 高の品質,この整数に格納されている時間の値は、それぞれ異なるものの、有効である可能性がある時間を表します。,"対応するビットが非常に少ない状態で、""time_t"" 値が整数に格納されています。式 ""mktime(&GmtTime)"" が ""int"" にキャストされています。",197,1,Y2K38_SAFETY,新規,2022/5/19,発生せず,13601,2022/5/19,,14296,2023/8/10,,,,,未分類,未指定,未確定,,Unassigned,8f230de315e3b11a8cc2bd9e7f9d0d04
